lineCode,batchCode,Day,Hour,minute,productId,productName,targetEngineCode,binNumber,weight,price
1,1001,15,9,30,5001,Spark Plug,V6-2.0L,12,92,8.99
1,1002,15,10,15,5002,Oil Filter,I4-1.5L,5,93,12.52
1,1003,15,10,30,5003,Air Filter,V8-5.0L,8,17,9.99
1,1004,15,11,0,5004,Brake Pad Set,R6-3.0L,10,77,43.29
1,1005,15,11,45,5005,Windshield Wiper,L4-2.4L,3,86,6.52
1,1006,15,12,0,5006,Fuel Pump,D4-2.0L,7,76,32.12
1,1007,15,12,30,5007,Ignition Coil,V6-3.6L,9,34,22.36
1,1008,15,13,15,5008,Timing Belt,H4-1.8L,4,97,18.23
1,1009,15,14,0,5009,Alternator,V8-6.2L,11,79,112.36
1,1010,15,14,45,5010,Radiator,F4-1.6L,6,52,86.12
