lineCode,batchCode,Day,Hour,minute,productId,productName,targetEngineCode,binNumber,weight,price
2,2001,15,8,45,6001,Battery,T5-2.5L,2,11,150.02
2,2002,15,9,20,6002,Clutch Kit,V6-3.0L,5,48,95.32
2,2003,15,9,55,6003,Exhaust Manifold,I4-1.6L,8,83,65.25
2,2004,15,10,30,6004,Steering Rack,L4-2.0L,4,13,200.01
2,2005,15,11,5,6005,Cabin Filter,H4-1.4L,7,66,10.67
2,2006,15,11,40,6006,Glow Plug,D4-2.2L,9,47,14.92
2,2007,15,12,15,6007,Throttle Body,V8-5.7L,11,96,75.24
2,2008,15,12,50,6008,Wheel Bearing,R6-3.6L,6,35,40.81
2,2009,15,13,25,6009,Oxygen Sensor,I4-2.0L,3,98,25.22
2,2010,15,14,0,6010,Shock Absorber,L4-1.8L,10,69,90.03
